iso_code,location,total_cases,year
GAB,Gabon,49051.0,2024
GMB,Gambia,3792.0,2020
GMB,Gambia,10136.0,2021
GMB,Gambia,12586.0,2022
GMB,Gambia,12626.0,2023
GMB,Gambia,12626.0,2024
GEO,Georgia,221605.0,2020
GEO,Georgia,924368.0,2021
GEO,Georgia,1809179.0,2022
GEO,Georgia,1855289.0,2023
GEO,Georgia,1855289.0,2024
DEU,Germany,1660178.0,2020
DEU,Germany,7014043.0,2021
DEU,Germany,37241936.0,2022
DEU,Germany,38437756.0,2023
DEU,Germany,38437756.0,2024
GHA,Ghana,54681.0,2020
GHA,Ghana,141295.0,2021
GHA,Ghana,171038.0,2022
GHA,Ghana,171834.0,2023
GHA,Ghana,171834.0,2024
GIB,Gibraltar,1526.0,2020
GIB,Gibraltar,8142.0,2021
GIB,Gibraltar,20275.0,2022
GIB,Gibraltar,20550.0,2023
GIB,Gibraltar,20550.0,2024
GRC,Greece,139692.0,2020
GRC,Greece,1085087.0,2021
GRC,Greece,5023163.0,2022
GRC,Greece,5570330.0,2023
GRC,Greece,5611832.0,2024
GRL,Greenland,26.0,2020
GRL,Greenland,2141.0,2021
GRL,Greenland,11971.0,2022
GRL,Greenland,11971.0,2023
GRL,Greenland,11971.0,2024
GRD,Grenada,116.0,2020
GRD,Grenada,5956.0,2021
GRD,Grenada,19660.0,2022
GRD,Grenada,19693.0,2023
GRD,Grenada,19693.0,2024
GLP,Guadeloupe,8620.0,2020
GLP,Guadeloupe,55795.0,2021
GLP,Guadeloupe,199988.0,2022
GLP,Guadeloupe,203235.0,2023
GLP,Guadeloupe,203235.0,2024
GUM,Guam,7094.0,2020
GUM,Guam,15260.0,2021
GUM,Guam,49938.0,2022
GUM,Guam,52287.0,2023
GUM,Guam,52287.0,2024
GTM,Guatemala,135171.0,2020
GTM,Guatemala,625029.0,2021
GTM,Guatemala,1195644.0,2022
GTM,Guatemala,1250305.0,2023
GTM,Guatemala,1250319.0,2024
GGY,Guernsey,297.0,2020
GGY,Guernsey,6646.0,2021
GGY,Guernsey,33794.0,2022
GGY,Guernsey,35326.0,2023
GGY,Guernsey,35326.0,2024
GIN,Guinea,13674.0,2020
GIN,Guinea,31130.0,2021
GIN,Guinea,38211.0,2022
GIN,Guinea,38572.0,2023
GIN,Guinea,38572.0,2024
GNB,Guinea-Bissau,2447.0,2020
GNB,Guinea-Bissau,6466.0,2021
GNB,Guinea-Bissau,8947.0,2022
GNB,Guinea-Bissau,9614.0,2023
GNB,Guinea-Bissau,9614.0,2024
GUY,Guyana,6289.0,2020
GUY,Guyana,39042.0,2021
GUY,Guyana,72004.0,2022
GUY,Guyana,74129.0,2023
GUY,Guyana,74129.0,2024
HTI,Haiti,9846.0,2020
HTI,Haiti,25974.0,2021
HTI,Haiti,33912.0,2022
HTI,Haiti,34509.0,2023
HTI,Haiti,34509.0,2024
OWID_HIC,High income,39640543.0,2020
OWID_HIC,High income,130398298.0,2021
OWID_HIC,High income,401460221.0,2022
OWID_HIC,High income,427810229.0,2023
OWID_HIC,High income,,2024
HND,Honduras,118659.0,2020
HND,Honduras,379073.0,2021
HND,Honduras,463685.0,2022
HND,Honduras,472743.0,2023
HND,Honduras,472755.0,2024
HKG,Hong Kong,,2020
HKG,Hong Kong,,2021
HKG,Hong Kong,,2022
HKG,Hong Kong,,2023
HKG,Hong Kong,,2024
HUN,Hungary,316060.0,2020
HUN,Hungary,1237330.0,2021
HUN,Hungary,2181419.0,2022
HUN,Hungary,2227159.0,2023
HUN,Hungary,2229538.0,2024
ISL,Iceland,5743.0,2020
ISL,Iceland,24206.0,2021
ISL,Iceland,207213.0,2022
ISL,Iceland,209791.0,2023
ISL,Iceland,209878.0,2024
IND,India,10187850.0,2020
IND,India,34786802.0,2021
IND,India,44677106.0,2022
IND,India,45013172.0,2023
IND,India,,2024
IDN,Indonesia,713365.0,2020
IDN,Indonesia,4261759.0,2021
IDN,Indonesia,6716124.0,2022
IDN,Indonesia,6821770.0,2023
IDN,Indonesia,6828268.0,2024
IRN,Iran,1194963.0,2020
IRN,Iran,6182905.0,2021
IRN,Iran,7560731.0,2022
IRN,Iran,7625463.0,2023
IRN,Iran,7626527.0,2024
IRQ,Iraq,590779.0,2020
IRQ,Iraq,2092312.0,2021
IRQ,Iraq,2465373.0,2022
IRQ,Iraq,2465545.0,2023
IRQ,Iraq,2465545.0,2024
IRL,Ireland,85176.0,2020
IRL,Ireland,696093.0,2021
IRL,Ireland,1689764.0,2022
IRL,Ireland,1728956.0,2023
IRL,Ireland,1732675.0,2024
IMN,Isle of Man,377.0,2020
IMN,Isle of Man,13913.0,2021
IMN,Isle of Man,38008.0,2022
IMN,Isle of Man,38008.0,2023
IMN,Isle of Man,38008.0,2024
ISR,Israel,399105.0,2020
ISR,Israel,1364768.0,2021
ISR,Israel,4756704.0,2022
ISR,Israel,4841558.0,2023
ISR,Israel,4841558.0,2024
ITA,Italy,2039182.0,2020
ITA,Italy,5622431.0,2021
ITA,Italy,25060503.0,2022
ITA,Italy,26658248.0,2023
ITA,Italy,,2024
JAM,Jamaica,12684.0,2020
JAM,Jamaica,92355.0,2021
JAM,Jamaica,152791.0,2022
JAM,Jamaica,156642.0,2023
JAM,Jamaica,156704.0,2024
JPN,Japan,217312.0,2020
JPN,Japan,1731789.0,2021
JPN,Japan,28266405.0,2022
JPN,Japan,33803572.0,2023
JPN,Japan,,2024
JEY,Jersey,2643.0,2020
JEY,Jersey,17472.0,2021
JEY,Jersey,65386.0,2022
JEY,Jersey,66391.0,2023
JEY,Jersey,66391.0,2024
JOR,Jordan,286356.0,2020
JOR,Jordan,1051421.0,2021
JOR,Jordan,1746997.0,2022
JOR,Jordan,1746997.0,2023
JOR,Jordan,1746997.0,2024
KAZ,Kazakhstan,197142.0,2020
KAZ,Kazakhstan,1069864.0,2021
KAZ,Kazakhstan,1492221.0,2022
KAZ,Kazakhstan,1503205.0,2023
KAZ,Kazakhstan,1503205.0,2024
KEN,Kenya,95843.0,2020
KEN,Kenya,281358.0,2021
KEN,Kenya,342470.0,2022
KEN,Kenya,344094.0,2023
KEN,Kenya,344094.0,2024
KIR,Kiribati,,2020
KIR,Kiribati,,2021
KIR,Kiribati,3430.0,2022
KIR,Kiribati,5085.0,2023
KIR,Kiribati,5085.0,2024
OWID_KOS,Kosovo,50362.0,2020
OWID_KOS,Kosovo,161284.0,2021
OWID_KOS,Kosovo,272205.0,2022
OWID_KOS,Kosovo,274279.0,2023
OWID_KOS,Kosovo,274279.0,2024
KWT,Kuwait,149449.0,2020
KWT,Kuwait,414911.0,2021
KWT,Kuwait,662918.0,2022
KWT,Kuwait,666586.0,2023
KWT,Kuwait,667026.0,2024
KGZ,Kyrgyzstan,,2020
KGZ,Kyrgyzstan,68891.0,2021
KGZ,Kyrgyzstan,88455.0,2022
KGZ,Kyrgyzstan,88943.0,2023
KGZ,Kyrgyzstan,88953.0,2024
LAO,Laos,41.0,2020
LAO,Laos,106231.0,2021
LAO,Laos,217642.0,2022
LAO,Laos,218906.0,2023
LAO,Laos,218917.0,2024
LVA,Latvia,36330.0,2020
LVA,Latvia,271429.0,2021
LVA,Latvia,970519.0,2022
LVA,Latvia,977701.0,2023
LVA,Latvia,977701.0,2024
LBN,Lebanon,169472.0,2020
LBN,Lebanon,711259.0,2021
LBN,Lebanon,1222126.0,2022
LBN,Lebanon,1239904.0,2023
LBN,Lebanon,1239904.0,2024
LSO,Lesotho,2577.0,2020
LSO,Lesotho,28182.0,2021
LSO,Lesotho,34490.0,2022
LSO,Lesotho,36135.0,2023
LSO,Lesotho,36135.0,2024
LBR,Liberia,1821.0,2020
LBR,Liberia,6228.0,2021
LBR,Liberia,8050.0,2022
LBR,Liberia,7930.0,2023
LBR,Liberia,7930.0,2024
LBY,Libya,97653.0,2020
LBY,Libya,384663.0,2021
LBY,Libya,507121.0,2022
LBY,Libya,507269.0,2023
LBY,Libya,507269.0,2024
LIE,Liechtenstein,2088.0,2020
LIE,Liechtenstein,6059.0,2021
LIE,Liechtenstein,21281.0,2022
LIE,Liechtenstein,21567.0,2023
LIE,Liechtenstein,21571.0,2024
LTU,Lithuania,134219.0,2020
LTU,Lithuania,516006.0,2021
LTU,Lithuania,1286222.0,2022
LTU,Lithuania,1359230.0,2023
LTU,Lithuania,,2024
OWID_LIC,Low income,394008.0,2020
OWID_LIC,Low income,1716263.0,2021
OWID_LIC,Low income,2266359.0,2022
OWID_LIC,Low income,2324732.0,2023
OWID_LIC,Low income,2325993.0,2024
OWID_LMC,Lower middle income,16795319.0,2020
OWID_LMC,Lower middle income,65344268.0,2021
OWID_LMC,Lower middle income,96416813.0,2022
OWID_LMC,Lower middle income,97478076.0,2023
OWID_LMC,Lower middle income,,2024
LUX,Luxembourg,38383.0,2020
LUX,Luxembourg,95888.0,2021
LUX,Luxembourg,364867.0,2022
LUX,Luxembourg,390037.0,2023
LUX,Luxembourg,390788.0,2024
MAC,Macao,,2021
MAC,Macao,,2022
MAC,Macao,,2023
MDG,Madagascar,17714.0,2020
MDG,Madagascar,50279.0,2021
MDG,Madagascar,67735.0,2022
MDG,Madagascar,68471.0,2023
MDG,Madagascar,68475.0,2024
MWI,Malawi,6343.0,2020
MWI,Malawi,70682.0,2021
MWI,Malawi,88160.0,2022
MWI,Malawi,89168.0,2023
MWI,Malawi,89168.0,2024
MYS,Malaysia,103900.0,2020
MYS,Malaysia,2741179.0,2021
MYS,Malaysia,5023306.0,2022
MYS,Malaysia,5227322.0,2023
MYS,Malaysia,,2024
MDV,Maldives,13644.0,2020
MDV,Maldives,94864.0,2021
MDV,Maldives,185678.0,2022
MDV,Maldives,186694.0,2023
MDV,Maldives,186694.0,2024
MLI,Mali,6574.0,2020
MLI,Mali,20011.0,2021
MLI,Mali,32768.0,2022
MLI,Mali,33164.0,2023
MLI,Mali,33164.0,2024
MLT,Malta,12616.0,2020
MLT,Malta,47436.0,2021
MLT,Malta,116237.0,2022
MLT,Malta,121022.0,2023
MLT,Malta,,2024
MHL,Marshall Islands,4.0,2020
MHL,Marshall Islands,4.0,2021
MHL,Marshall Islands,15544.0,2022
MHL,Marshall Islands,16138.0,2023
MHL,Marshall Islands,16138.0,2024
MTQ,Martinique,6072.0,2020
